#BOF|2022.03.14|03:30:03
#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
RIIL|INR|RELIANCE INDUS INFRASTRUCT|56984825|INE046A01015|NA|NA|75000|
RNAVAL|INR|RELIANCE NAVAL AND ENGINEERI|71556544|INE542F01012|NA|NA|2300000|
ROLTA|INR|ROLTA INDIA LIMITED|56984840|INE293A01013|NA|NA|700000|
RPOWER|INR|RELIANCE POWER LIMITED|53680378|INE614G01033|NA|NA|7900000|
RTNPOWER|INR|RATTANINDIA POWER LTD|72432181|INE399K01017|NA|NA|9700000|
SADBHAV|INR|SADBHAV ENGINEERING LTD|81644839|INE226H01026|NA|NA|95000|
SAIL|INR|STEEL AUTHORITY OF INDIA|44652045|INE114A01011|NA|NA|3700000|
SANOFI|INR|SANOFI INDIA LTD|56983919|INE058A01010|NA|NA|10000|
SCI|INR|SHIPPING CORP OF INDIA LTD|56988535|INE109A01011|NA|NA|500000|
SHOPERSTO|INR|SHOPPERS STOP LTD|82777602|INE498B01024|NA|NA|150000|
SHREECEM|INR|SHREE CEMENT LIMITED|56989171|INE070A01015|NA|NA|10000|
SHRIRAMCI|INR|SHRIRAM CITY UNION FINANCE|56988536|INE722A01011|NA|NA|15000|
SIEMENS|INR|SIEMENS LTD|44652105|INE003A01024|NA|NA|200000|
SINTEX|INR|SINTEX INDUSTRIES LTD|80406824|INE429C01035|NA|NA|1500000|
SJVN|INR|SJVN LTD|75373379|INE002L01015|NA|NA|700000|
SKFINDIA|INR|SKF INDIA LTD|56989054|INE640A01023|NA|NA|30000|
SOBHA|INR|SOBHA LTD|56989097|INE671H01015|NA|NA|150000|
SOUTHBANK|INR|SOUTH INDIAN BANK LTD|79403920|INE683A01023|NA|NA|5700000|
SPARC|INR|SUN PHARMA ADVANCED RESEARCH|56989120|INE232I01014|NA|NA|800000|
SPECIALIT|INR|SPECIALITY RESTAURANTS LTD|108161886|INE247M01014|NA|NA|150000|
SREINFRA|INR|SREI INFRASTRUCTURE FINANCE|56989177|INE872A01014|NA|NA|2500000|
SRTRANSFI|INR|SHRIRAM TRANSPORT FINANCE|56988999|INE721A01013|NA|NA|300000|
STAR|INR|STRIDES PHARMA SCIENCE LTD|56989252|INE939A01011|NA|NA|250000|
STCINDIA|INR|STATE TRADING CORP OF INDIA|56989224|INE655A01013|NA|NA|150000|
STLTECH|INR|STERLITE TECHNOLOGIES LTD|73276624|INE089C01029|NA|NA|850000|
SUNDARMFI|INR|SUNDARAM FINANCE LTD|56989274|INE660A01013|NA|NA|60000|
SUNPHARMA|INR|SUN PHARMACEUTICAL INDUS|81351036|INE044A01036|NA|NA|750000|
SUNTV|INR|SUN TV NETWORK LIMITED|56989289|INE424H01027|NA|NA|1100000|
SUPREMEIN|INR|SUPREME INDUSTRIES LTD|79891008|INE195A01028|NA|NA|50000|
SUZLON|INR|SUZLON ENERGY LIMITED|51687627|INE040H01021|NA|NA|8800000|
TATACHEM|INR|TATA CHEMICALS LIMITED|56986895|INE092A01019|NA|NA|600000|
TATACOMM|INR|TATA COMMUNICATIONS LIMITED|44652159|INE151A01013|NA|NA|250000|
TATACONSU|INR|TATA CONSUMER PRODUCTS LTD|76814483|INE192A01025|NA|NA|3000000|
TATAINVES|INR|TATA INVESTMENT CORP LTD|56985239|INE672A01018|NA|NA|10000|
TATAMOTOR|INR|TATA MOTORS LTD|94127580|INE155A01022|NA|NA|>10000000|
TATAMTRDV|INR|TATA MOTORS LTD-A-DVR|94127589|IN9155A01020|NA|NA|2400000|
